LVOL     PROMP  FEAT     DISP
14.5334  3.525  39.920  21.35
14.2185  3.700  25.792  34.62
14.3330  3.415  23.280  27.37
14.2702  3.550  25.544  25.70
14.1843  3.645  39.248  30.15
13.9897  3.780  13.080  41.70
13.9645  3.865  17.088  37.59
14.0107  3.595  24.488  35.12
14.0520  3.725  15.504  34.17
14.2346  3.520  24.760  29.17
14.3354  3.560  34.800  29.71
13.9764  3.680  20.024  28.72
14.1169  3.550  29.000  25.91
14.0914  3.660  17.152  30.76
14.1651  3.475  28.736  26.23
13.9468  3.705  26.960  24.01
14.1207  3.565  12.496  28.86
14.0159  3.770   3.360  25.53
14.2635  3.620  33.456  25.19
14.5005  3.530  45.880  28.47
14.2169  3.625  21.256  34.72
14.3728  3.505  23.584  34.56
14.1824  3.570  29.912  27.02
14.2114  3.665  44.416  25.85
14.3017  3.570  33.400  25.32
14.8233  3.175  46.264  25.02
14.4519  3.400  26.944  31.52
14.3906  3.500  13.456  30.17
14.0611  3.600  22.272  31.56
14.1340  3.660  23.968  29.68
14.4771  3.490  27.880  23.26
14.2564  3.670  43.920  19.21
13.9018  3.635   5.368  29.53
14.4212  3.470  39.024  24.55
14.8006  3.330  42.008  34.04
14.2352  3.400  21.120  29.47
14.4255  3.385  23.232  20.99
14.2329  3.410  10.544  31.77
14.8728  3.210  40.816  29.03
14.2582  3.535  21.888  33.24
14.5040  3.500  48.104  31.30
14.2994  3.335  27.552  25.32
14.4863  3.425  25.784  26.93
14.5279  3.285  30.528  25.40
14.5035  3.405  22.160  30.62
14.1337  3.500   6.656  29.33
14.4578  3.330  37.760  18.62
14.5865  3.235  24.688  24.92
14.8214  3.145  42.064  24.79
14.3782  3.300  33.232  25.45
15.0709  3.155  52.240  27.91
14.6358  3.075  43.920  22.78
14.6300  3.260  12.512  26.80
14.3421  3.405  22.320  26.22
14.2750  3.425  27.472  32.49
14.4074  3.265  19.208  27.37
14.3615  3.455  21.240  31.44
14.2300  3.315  15.968  25.32
14.0191  3.535  32.920  25.51
13.9973  3.660  16.456  29.32
14.7001  3.355  47.904  29.73
14.0801  3.575  11.728  41.18
14.4929  3.455  46.440  37.07
14.1583  3.495  17.896  45.94
14.2820  3.535  13.576  35.47
14.2390  3.495  19.136  43.09
14.3785  3.390  45.376  37.53
14.0339  3.600  19.904  41.02
13.9868  3.645   5.672  36.07
14.2932  3.480  17.448  35.12
14.0723  3.450  15.256  29.11
14.2913  3.505  23.672  23.65
14.7620  3.130  25.320  26.77
13.9302  3.635   8.176  36.88
14.0334  3.580  20.824  33.68
13.9265  3.580   8.424  29.35
14.0997  3.395  10.368  26.63
14.6045  3.245  45.368  22.55
14.1899  3.510  16.536  31.79
13.9901  3.490  16.744  23.66
14.0466  3.430  15.216  29.46
14.4579  3.225  30.872  19.53
14.1647  3.440  17.344  27.96
14.1009  3.300  18.232  31.88
14.0511  3.450  34.584  26.84
14.2733  3.405  24.160  16.38
14.1701  3.580  27.544  23.25
13.9258  3.525   6.184  22.95
13.9582  3.530   2.840  22.88
14.5043  3.315  42.448  20.08
14.0863  3.515  11.888  21.98
14.3257  3.270   8.880  19.32
14.0735  3.390   8.960  19.41
14.8245  3.135  35.072  12.42
14.5973  3.320  35.488  25.45
14.3836  3.255  26.960  25.03
14.1834  3.270  14.480  25.03
14.3697  3.390  34.960  17.35
14.3202  3.240   7.048  22.54
14.3086  3.410  29.136  16.98
14.2503  3.350  24.024  19.71
14.1661  3.330  26.720  20.83
14.2435  3.310  22.112  20.54
14.5906  3.265  36.696  16.92
14.3359  3.205  18.224  17.05
14.8179  3.100  32.848  18.81
14.4413  3.325  33.576  16.96
14.2757  3.420  26.296  23.01
14.0039  3.500   9.216  16.44
14.0218  3.415  15.880  20.61
14.6787  3.260  52.688  15.00
14.3096  3.200  16.360  17.13
14.1636  3.405  20.160  16.06
14.1556  3.260  18.864  17.92
14.4263  3.445  54.688  20.35
13.9424  3.525  20.096  26.66
14.2023  3.535  15.672  28.25
14.5017  3.360  36.448  22.30
14.4227  3.365  41.472  20.75
14.0958  3.505  22.024  26.45
14.0570  3.595  16.184  22.57
14.4647  3.425  20.376  16.25
14.3865  3.375  14.872  16.17
14.1630  3.515  18.800  16.64
14.6013  3.310  34.648  19.15
14.0731  3.535  19.136  22.36
14.8983  3.135  36.552  16.12
14.5165  3.260  25.952  16.38
13.9976  3.570  11.288  26.85
14.8246  3.275  44.208  24.56
14.0720  3.465  12.280  27.08
14.0844  3.385  17.224  25.94
14.1117  3.535  37.496  23.58
14.3447  3.490  37.840  24.61
13.8312  3.540  13.728  24.57
14.1068  3.450  20.904  22.72
13.8582  3.535   7.976  20.10
14.3438  3.320  21.416  18.30
14.0614  3.575  31.208  17.85
13.9637  3.625   6.584  22.05
13.9735  3.560   8.520  22.29
14.7872  3.350  57.104  17.40
14.2932  3.390  16.104  25.89
14.1602  3.630  29.728  23.30
14.0928  3.765   3.904  21.94
14.8631  3.135  32.480  18.97
14.4288  3.385  36.504  21.06
14.1515  3.560   9.792  22.36
14.4866  3.415  42.816  14.62
14.0033  3.685  21.624  19.58
14.1234  3.480  13.528  21.05
14.2326  3.515  32.032  21.95
14.0707  3.615  10.336  18.84
14.0197  3.760  22.752  13.39
13.8634  3.600   3.368  15.41
14.5517  3.315  48.336  12.92
